# A05-DEVICE pre-flash backup manifest  2026-09-16 12:33:13
# device=ESP32-P4 rev v1.3  MAC=80:f1:b2:d2:ed:14  flash=32MB GigaDevice c8/4019
# file|offset|length|sha256
backup-0x000000-0x010000-bootloader-and-parttable.bin|0x00000000|65536|c6593f7cc1bcac8aff99de4530335aadcc80d2bffa7a0dcd9796ef1ded746710
backup-0x00a000-0x032000-nvsfactory.bin|0x0000A000|204800|bde1ad06f099691704c1fee05bc1bda810539d8cb1aefd5ea6fcdf77b4a1be0f
backup-0x03c000-0x0d2000-nvs.bin|0x0003C000|860160|83cb50cef921c85003e53e422c08fbc0328e9df6a2d37b49afd97abd6088d232
backup-0x10e000-0x002000-otadata.bin|0x0010E000|8192|8ba3b110139f45443d4f268d1a3373ef99a1718b71d51664531b83ee2d4b91a3
backup-0x110000-0x001000-phy_init.bin|0x00110000|4096|f47a8ec3e9aff2318d896942282ad4fe37d6391c82914f54a5da8a37de1300c6
backup-0x111000-0x0ef000-model-srmodels.bin|0x00111000|978944|69949f497970885c03782948bafec0ab8bad1e9d53f37e20ff1ee6f8df715565
backup-0x200000-0x900000-ota_0-current-app.bin|0x00200000|9437184|e33d14c7e1b1feeaa7a85ef4df64273bb3b08f60ee978ed7a0dc514df94aaefe
backup-0x0b00000-0x400000-ota_1-current-app.bin|0x00B00000|4194304|1a33ae4c797c7b46af42ba99fe7ab14b71892fdf5dd1778a61d49301af20a3b3
